[     137ms] [ERROR] WebSocket connection to 'ws://100.82.152.81:5173/?token=ntGJNF_8J-Lg' failed:  @ http://100.82.152.81:5173/@vite/client:535
[     327ms] [ERROR] WebSocket connection to 'ws://localhost:5173/?token=ntGJNF_8J-Lg' failed:  @ http://100.82.152.81:5173/@vite/client:535
[     338ms] [ERROR] [vite] failed to connect to websocket.
your current setup:
  (browser) 100.82.152.81:5173/ <--[HTTP]--> localhost:5173/ (server)
  (browser) 100.82.152.81:5173/ <--[WebSocket (failing)]--> localhost:5173/ (server)
Check out your Vite / network configuration and https://vite.dev/config/server-options.html#server-hmr . @ http://100.82.152.81:5173/@vite/client:511
[     470ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://100.82.152.81:5173/favicon.ico:0
[ 3626742ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[ 3626996ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[ 4313413ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10402423ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10402671ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10424422ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10426424ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10428458ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10430405ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10450410ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10450410ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10452405ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10454405ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10456440ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10458386ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10478392ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10478392ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10480388ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10482387ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10484417ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10486368ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10500680ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10500680ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10502671ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10504669ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10506702ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10508652ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10522991ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10522992ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10524958ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10526952ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10528986ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10530935ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10545271ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10545272ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10547243ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10549240ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10551266ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
